,id,name,address,symbol,chain,logo,audits,gecko_id,category,chains,module,twitter,forkedFrom,oracles,slug,tvl,chainTvls,change_1h,change_1d,change_7d
2060,2144,DarkSwap,dogechain:0xF4413B0576048c39E8190C8680A1d6c4108e6C1E,DAS,Dogechain,https://icons.llama.fi/darkswap.jpg,0,,Dexes,['Dogechain'],darkswap/index.js,DarkSwap_Fi,['Uniswap V2'],[],darkswap,0.0,{'Dogechain': 0.0},-0.012688104566819902,-2.3482433929609954,-56.1647088812451
2061,2018,AutoBark,,-,Dogechain,https://icons.llama.fi/autobark.png,0,,Yield Aggregator,['Dogechain'],autobark/index.js,AutoBarkYield,[],[],autobark,0.0,{'Dogechain': 0.0},-0.11649801560314188,-2.221208560567149,-0.7488238390986197
2062,1908,OpenBiSea,,-,Multi-Chain,https://icons.llama.fi/openbisea.jpg,0,,Dexes,"['Aurora', 'Kava', 'Binance', 'Polygon']",MultiSwap/index.js,openbisea,['Uniswap V2'],[],openbisea,0.0,"{'Binance': 0.0, 'Kava': 0.0, 'Aurora': 0.0, 'Polygon': 0.0}",0.0019252504359172917,-4.808343555488435,-4.150777808624412
2063,2003,Fruits of Ryoshi,dogechain:0xa4F9877A08F7639df15D506eAFF92Ab5E78273cd,NONI,Dogechain,https://icons.llama.fi/fruits-of-ryoshi.png,0,farms-of-ryoshi,Farm,['Dogechain'],ryoshi/index.js,FruitsofRyoshi,[],[],fruits-of-ryoshi,0.0,"{'Dogechain': 0.0, 'Dogechain-pool2': 0.03, 'pool2': 0.03, 'Dogechain-staking': 0.02, 'staking': 0.02}",-0.17034350972923562,-2.5149402285199045,0.3346077179645164
2064,1107,WaterLoan,csc:0x355bf937D42dd19eE60f730D505B0aC03B03e2ae,WAT,Multi-Chain,https://icons.llama.fi/waterloan.jpg,0,,Lending,"['CSC', 'smartBCH']",waterloan/index.js,realwaterloan,['Aave'],['Chainlink'],waterloan,0.0,"{'CSC': 0.0, 'CSC-borrowed': 0.53, 'smartBCH': 0.0, 'borrowed': 0.53, 'smartBCH-borrowed': 0.0}",-1.2182661602769542,-1.0816935748670176,-1.2315596659829708
2065,1998,DogePup,dogechain:0x1b15b9446b9f632a78396a1680DAaE17f74Ce8d9,DOGEPUP,Dogechain,https://icons.llama.fi/dogepup.png,0,doge-pup-token,Farm,['Dogechain'],dogepup/index.js,PolyPup1,[],[],dogepup,0.0,"{'Dogechain': 0.0, 'Dogechain-pool2': 0.0, 'pool2': 0.0, 'Dogechain-staking': 0.0, 'staking': 0.0}",-0.12671371326985081,-0.9377599529397287,-1.3794201582219046
2066,2762,zkEVMSwap,,-,Polygon zkEVM,https://icons.llama.fi/zkevmswap.jpg,0,,Dexes,['Polygon zkEVM'],zkevmswap/index.js,zkEVMswap,['Uniswap V2'],['TWAP'],zkevmswap,0.0,{'Polygon zkEVM': 0.0},-0.030853880822718338,-2.630664000803989,3.6692376309968466
2067,1725,Pegasus Finance,optimism:0x18607aDc70d68E196D12019d49b0607b99312853,PEGA,Optimism,https://icons.llama.fi/pegasus-finance.png,0,pegasus-finance,Derivatives,['Optimism'],pegasusfinance/index.js,0xPegasusFi,[],['Internal'],pegasus-finance,0.0,{'Optimism': 0.0},-0.10165211436397215,-2.330812122733775,2.835774041294698
2068,1766,Koyo Finance,boba:0x618CC6549ddf12de637d46CDDadaFC0C2951131C,KYO,Boba,https://icons.llama.fi/koyo-finance.png,0,koyo,Dexes,['Boba'],koyo/index.js,KoyoFinance,['Balancer'],[],koyo-finance,0.0,"{'Boba': 0.0, 'Boba-staking': 0.0, 'staking': 0.0}",-0.0073745733131431734,-0.12278238562753074,-0.12142819190255238
2069,1606,Mockingbird,fantom:0x0A737c40E42b164B30c0d3E5A19152CB89aA3EB9,MOCKINGBIRD,Fantom,https://icons.llama.fi/mockingbird.png,0,,Farm,['Fantom'],mockingbird/index.js,philetairus,['Goose Finance'],[],mockingbird,0.0,"{'pool2': 0.0, 'Fantom-staking': 0.0, 'Fantom-pool2': 0.0, 'staking': 0.0, 'Fantom': 0.0}",-0.09319233612994537,-0.7490177132656157,-1.083331808912888
