market_cap_rank,id,symbol,name,market_cap_sum,market_cap_avg,market_cap_median,total_volume_sum,total_volume_avg,total_volume_median,Price_Change_24h_avg,Price_Change_24h_median,Price_Change_7d_avg,Price_Change_7d_median,Price_Change_30d_avg,Price_Change_30d_median,Price_Change_200d_avg,Price_Change_200d_median,Price_Change_1y_avg,Price_Change_1y_median
73,bitget-token,bgb,Bitget Token,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
74,bitcoin-cash-sv,bsv,Bitcoin SV,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
75,conflux-token,cfx,Conflux,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
76,klay-token,klay,Klaytn,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
77,injective-protocol,inj,Injective,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
78,maker,mkr,Maker,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
79,gemini-dollar,gusd,Gemini Dollar,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
80,kava,kava,Kava,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
82,bittorrent,btt,BitTorrent,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
81,iota,miota,IOTA,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
83,casper-network,cspr,Casper Network,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
84,pepe,pepe,Pepe,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
85,chiliz,chz,Chiliz,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
86,pax-gold,paxg,PAX Gold,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
87,sui,sui,Sui,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
88,tokenize-xchange,tkx,Tokenize Xchange,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
89,huobi-token,ht,Huobi,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
90,terra-luna,lunc,Terra Luna Classic,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
91,mina-protocol,mina,Mina Protocol,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
92,dash,dash,Dash,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
93,tether-gold,xaut,Tether Gold,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
94,compound-ether,ceth,cETH,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
95,frax-share,fxs,Frax Share,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
97,ecash,xec,eCash,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
96,gmx,gmx,GMX,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
98,xdce-crowd-sale,xdc,XDC Network,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
99,trust-wallet-token,twt,Trust Wallet,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
100,frax-ether,frxeth,Frax Ether,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
101,flare-networks,flr,Flare,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
102,compound-usd-coin,cusdc,cUSDC,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
104,zilliqa,zil,Zilliqa,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
103,nexo,nexo,NEXO,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
105,woo-network,woo,WOO Network,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
106,singularitynet,agix,SingularityNET,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
108,nxm,nxm,Nexus Mutual,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
107,mask-network,mask,Mask Network,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
109,loopring,lrc,Loopring,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
110,krypton-dao,krd,Krypton DAO,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
111,thorchain,rune,THORChain,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
113,convex-finance,cvx,Convex Finance,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
112,pancakeswap-token,cake,PancakeSwap,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
114,btse-token,btse,BTSE Token,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
115,osmosis,osmo,Osmosis,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
116,arweave,ar,Arweave,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
117,dydx,dydx,dYdX,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
118,enjincoin,enj,Enjin Coin,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
119,basic-attention-token,bat,Basic Attention,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
120,1inch,1inch,1inch,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
