,id,name,symbol,gecko_id,chain,category,slug,tvl,change_1h,change_1d,change_7d
15,2286,Bybit,-,,Multi-Chain,CEX,bybit,2894.18,-0.22828017751305651,-2.3782379728790346,0.05136476874652374
16,2274,Kucoin,-,,Multi-Chain,CEX,kucoin,2629.07,-0.049680201879908736,-1.7244161288103754,-0.11456932084587379
17,2222,Coinbase Wrapped Staked ETH,-,,Ethereum,Liquid Staking,coinbase-wrapped-staked-eth,2194.91,0.14598615719911834,-2.7492806544717894,3.852521791721955
18,120,Instadapp,INST,instadapp,Ethereum,Services,instadapp,2165.54,0.013471413035915702,-2.2427817761254403,2.8044947969430467
19,2314,Gate-io,-,,Multi-Chain,CEX,gate-io,1844.91,0.38246393757791,-2.0266360121285487,-0.48324842499806664
20,2273,Deribit,-,,Multi-Chain,CEX,deribit,1807.62,-0.16297237204275916,-2.8861416593232576,2.1711055468432505
21,900,Rocket Pool,RPL,rocket-pool,Ethereum,Liquid Staking,rocket-pool,1766.86,-0.09346765768444243,-1.7891990728256388,6.186210307863391
22,194,PancakeSwap AMM,CAKE,,Multi-Chain,Dexes,pancakeswap-amm,1576.73,-0.09028301630904423,-2.990415412577761,-7.529306304463546
23,2352,Bitget,-,,Multi-Chain,CEX,bitget,1557.22,0.04256295527791565,-0.8711644715903333,-0.5872328193051715
24,591,Multichain,MULTI,multichain,Multi-Chain,Bridge,multichain,1532.51,-0.03698154124647601,-1.09850324915719,-4.902985397681334
25,1599,AAVE V3,AAVE,,Multi-Chain,Lending,aave-v3,1511.29,-0.12555063787391418,-4.077038480485285,2.509518478877638
26,691,JustStables,USDJ,just-stablecoin,Tron,CDP,juststables,1310.82,-0.21284190209274811,-1.8375707133103703,-2.0909817631088146
27,114,Compound,COMP,,Ethereum,Lending,compound,1297.28,-0.06262798964171168,-2.0535858244766843,1.188090464838453
28,2197,Uniswap V2,UNI,,Ethereum,Dexes,uniswap-v2,1170.11,-0.09899042257603696,-0.14825772845060214,
29,2611,Balancer V2,BAL,,Multi-Chain,Dexes,balancer-v2,925.05,-0.12668577880829446,-2.791297462728778,-0.722792458466742
30,2293,Bitmex,-,,Multi-Chain,CEX,bitmex,808.47,-0.0859155852041198,-2.7277239080588487,1.081205583289389
31,212,Venus,XVS,venus,Binance,Lending,venus,787.8,0.15628188253612052,-2.037636990344069,0.5758943172593689
32,270,Liquity,LQTY,liquity,Ethereum,CDP,liquity,736.29,-0.10165211436397215,-2.4864886573435285,2.3586849248550266
33,337,GMX,GMX,gmx,Multi-Chain,Derivatives,gmx,615.48,-0.7276390426380601,-2.381898401193965,-6.2827198876045
34,2088,Compound V3,COMP,,Multi-Chain,Lending,compound-v3,577.49,-0.2181797251751334,-2.840157220303581,-0.061031430002486786
35,2295,SwissBorg,-,,Multi-Chain,CEX,swissborg,556.02,-0.1153831970196677,-1.8366172197914779,0.34837500461075877
36,1918,Aura,AURA,aura-finance,Ethereum,Yield,aura,531.8,-0.05459175573315633,-2.50543599465918,0.5744924915020562
37,113,Yearn Finance,YFI,yearn-finance,Multi-Chain,Yield Aggregator,yearn-finance,449.92,0.15009050724223982,-1.614364022375014,1.776642435288096
