,id,name,symbol,chain,chains,slug,tvl,chainTvls
723,534,Thales,THALES,Multi-Chain,"['Optimism', 'Arbitrum', 'Polygon', 'Ethereum']",thales,2.09,"{'Optimism': 1.35, 'Optimism-pool2': 1.64, 'Optimism-staking': 7.2, 'pool2': 1.76, 'Arbitrum-staking': 2.0, 'Ethereum-pool2': 0.13, 'Ethereum': 0.01, 'Polygon': 0.07, 'Arbitrum': 0.68, 'staking': 9.2}"
724,2356,El Dorado Exchange,EDE,Multi-Chain,"['Arbitrum', 'Binance']",el-dorado-exchange,2.09,"{'Binance': 0.31, 'Arbitrum': 1.78}"
725,2874,Tealswap,-,Oasys,['Oasys'],tealswap,2.05,{'Oasys': 2.05}
726,2705,WEMIX.FI Lend,-,WEMIX,['WEMIX'],wemix.fi-lend,2.03,"{'WEMIX-borrowed': 0.64, 'borrowed': 0.64, 'WEMIX': 2.03}"
727,2650,ShadowSwap,SHDW,CORE,['CORE'],shadowswap,2.03,{'CORE': 2.03}
728,211,Smoothy,SMTY,Multi-Chain,"['Ethereum', 'Binance']",smoothy,2.03,"{'Binance': 0.23, 'Ethereum': 1.8}"
729,2281,Sigmausd,-,Ergo,['Ergo'],sigmausd,2.0,{'Ergo': 2.0}
730,2104,Swaap,-,Polygon,['Polygon'],swaap,1.98,{'Polygon': 1.98}
731,1172,PsyOptions,PSY,Solana,['Solana'],psyoptions,1.96,{'Solana': 1.96}
732,292,Swapr,SWPR,Multi-Chain,"['xDai', 'Arbitrum', 'Ethereum']",swapr,1.96,"{'Ethereum': 0.15, 'xDai': 1.63, 'Arbitrum': 0.17}"
733,1088,Spectrum Finance,-,Ergo,['Ergo'],spectrum-finance,1.94,{'Ergo': 1.94}
734,693,Superfluid,-,Multi-Chain,"['Polygon', 'Arbitrum', 'xDai', 'Optimism', 'Avalanche', 'Binance']",superfluid,1.9,"{'Optimism': 0.04, 'xDai-vesting': 0.01, 'Polygon-vesting': 2.77, 'Avalanche-vesting': 0.0, 'Binance': 0.0, 'xDai': 0.08, 'vesting': 2.79, 'Avalanche': 0.0, 'Polygon': 1.47, 'Arbitrum-vesting': 0.0, 'Arbitrum': 0.32, 'Optimism-vesting': 0.0, 'Binance-vesting': 0.0}"
735,2625,Bluefin,-,Arbitrum,['Arbitrum'],bluefin,1.88,{'Arbitrum': 1.88}
736,491,Terraswap,-,Multi-Chain,"['Terra', 'Terra2']",terraswap,1.87,"{'Terra': 1.66, 'Terra2': 0.22}"
737,572,Cyclone,CYC,Multi-Chain,"['Ethereum', 'Binance', 'IoTeX', 'Polygon']",cyclone,1.85,"{'pool2': 0.21, 'IoTeX-staking': 0.01, 'Polygon-pool2': 0.0, 'IoTeX-pool2': 0.07, 'Binance-pool2': 0.04, 'Ethereum-pool2': 0.1, 'Binance': 0.22, 'IoTeX': 0.03, 'Ethereum': 1.6, 'Binance-staking': 0.01, 'Polygon': 0.0, 'staking': 0.02}"
738,2620,Phoenix Bonds,pNEAR,Near,['Near'],phoenix-bonds,1.84,{'Near': 1.84}
739,2898,LionDEX,LION,Arbitrum,['Arbitrum'],liondex,1.83,"{'Arbitrum-staking': 0.98, 'Arbitrum': 1.83, 'staking': 0.98}"
740,2619,Proton Dex,-,Proton,['Proton'],proton-dex,1.83,{'Proton': 1.83}
741,2033,Interlay BTC,INTR,Interlay,['Interlay'],interlay-btc,1.83,{'Interlay': 1.83}
742,2016,Hodl Fox,-,Mixin,['Mixin'],hodl-fox,1.83,{'Mixin': 1.83}
743,2102,Titano Swych,TITANO,Binance,['Binance'],titano-swych,1.83,{'Binance': 1.83}
744,1824,Swapsicle,POPS,Multi-Chain,"['Telos', 'Avalanche', 'Polygon', 'Fantom', 'Arbitrum', 'Binance', 'Optimism', 'Ethereum']",swapsicle,1.82,"{'Optimism': 0.0, 'Telos-staking': 0.1, 'Binance': 0.0, 'Ethereum': 0.0, 'Avalanche': 0.21, 'Avalanche-staking': 0.08, 'Polygon': 0.02, 'Telos': 1.58, 'Arbitrum': 0.0, 'Fantom': 0.01, 'staking': 0.18}"
745,2470,Bitindi Dex,-,Bitindi,['Bitindi'],bitindi-dex,1.81,{'Bitindi': 1.81}
746,2367,mySwap,-,Starknet,['Starknet'],myswap,1.81,{'Starknet': 1.81}
747,553,Annex,ANN,Multi-Chain,"['Binance', 'Cronos', 'Kava']",annex,1.79,"{'Kava': 0.01, 'Cronos-borrowed': 0.48, 'Cronos': 0.67, 'Binance-borrowed': 0.54, 'Binance': 1.11, 'borrowed': 1.04, 'Kava-borrowed': 0.02}"
748,291,Integral,ITGR,Multi-Chain,"['Ethereum', 'Arbitrum']",integral,1.78,"{'Ethereum': 1.78, 'Arbitrum': 0.0}"
749,2910,Hydradex V3,-,Hydra,['Hydra'],hydradex-v3,1.77,{'Hydra': 1.77}
750,1194,Sperax USD,USDs,Multi-Chain,"['Arbitrum', 'Ethereum']",sperax-usd,1.77,"{'Ethereum': 0.0, 'Ethereum-staking': 0.0, 'Arbitrum-staking': 2.15, 'Arbitrum': 1.77, 'staking': 2.15}"
751,2737,Dexter,-,Persistence,['Persistence'],dexter,1.76,{'Persistence': 1.76}
752,203,Siren,SI,Multi-Chain,"['Polygon', 'Ethereum']",siren,1.76,"{'Ethereum': 0.33, 'Polygon': 1.44}"
753,2783,Scrub Invest,-,Kava,['Kava'],scrub-invest,1.75,{'Kava': 1.75}
754,2002,CACHE.Gold,CGT,Ethereum,['Ethereum'],cache.gold,1.74,{'Ethereum': 1.74}
755,420,Elk,ELK,Multi-Chain,"['Polygon', 'Avalanche', 'Binance', 'Kava', 'Elastos', 'Fantom', 'xDai', 'Arbitrum', 'Ethereum', 'Cronos', 'IoTeX', 'Optimism', 'Telos', 'Fuse', 'Kucoin', 'Heco', 'Bittorrent', 'OKExChain', 'Moonriver', 'Harmony', 'Hoo']",elk,1.74,"{'Optimism': 0.03, 'Kava': 0.13, 'Moonriver': 0.01, 'Harmony': 0.01, 'Binance': 0.24, 'IoTeX': 0.03, 'Ethereum': 0.09, 'xDai': 0.09, 'Heco': 0.02, 'Avalanche': 0.29, 'Telos': 0.02, 'Arbitrum': 0.09, 'Fuse': 0.02, 'Fantom': 0.1, 'Cronos': 0.07, 'OKExChain': 0.01, 'Hoo': 0.0, 'Kucoin': 0.02, 'Bittorrent': 0.01, 'Elastos': 0.12, 'Polygon': 0.32}"
756,2101,FstSwap,-,Binance,['Binance'],fstswap,1.74,{'Binance': 1.74}
757,2974,Extra Finance,-,Optimism,['Optimism'],extra-finance,1.74,{'Optimism': 1.74}
758,464,Beta Finance,BETA,Multi-Chain,"['Ethereum', 'Avalanche']",beta-finance,1.73,"{'Ethereum': 1.71, 'Avalanche': 0.02}"
759,301,Nerve,NRV,Binance,['Binance'],nerve,1.72,"{'Binance': 1.72, 'Binance-staking': 0.01, 'staking': 0.01}"
760,2040,Lif3 Swap,LIF3,Multi-Chain,"['Tombchain', 'Binance', 'Polygon']",lif3-swap,1.71,"{'Binance': 0.35, 'Tombchain': 1.06, 'Tombchain-staking': 0.07, 'Polygon': 0.3, 'staking': 0.07}"
761,1814,Option Dance,-,Mixin,['Mixin'],option-dance,1.71,{'Mixin': 1.71}
762,744,Tranquil Finance,TRANQ,Harmony,['Harmony'],tranquil-finance,1.7,"{'Harmony-pool2': 0.01, 'pool2': 0.01, 'Harmony-staking': 0.0, 'Harmony': 1.7, 'Harmony-borrowed': 0.62, 'borrowed': 0.62, 'staking': 0.0}"
763,1924,Pods Yield,-,Ethereum,['Ethereum'],pods-yield,1.7,{'Ethereum': 1.7}
764,2350,KyotoSwap,KSWAP,Binance,['Binance'],kyotoswap,1.7,"{'Binance': 1.7, 'Binance-staking': 0.0, 'staking': 0.0}"
765,232,MCDEX,MCB,Multi-Chain,"['Ethereum', 'Arbitrum', 'Binance']",mcdex,1.69,"{'Binance': 0.01, 'Ethereum': 1.28, 'Arbitrum': 0.4}"
766,2001,Demex,-,Carbon,['Carbon'],demex,1.69,{'Carbon': 1.69}
767,2278,Quoll,QUO,Binance,['Binance'],quoll,1.68,"{'Binance': 1.68, 'Binance-staking': 0.0, 'staking': 0.0}"
768,603,Socean,SOCN,Solana,['Solana'],socean,1.68,{'Solana': 1.68}
769,399,Geyser,GYSR,Multi-Chain,"['Ethereum', 'Polygon']",geyser,1.67,"{'Ethereum': 1.56, 'Polygon': 0.11}"
770,3037,Range Protocol,-,Multi-Chain,"['Ethereum', 'Arbitrum', 'Polygon', 'Binance']",range-protocol,1.67,"{'Binance': 0.0, 'Ethereum': 1.61, 'Polygon': 0.0, 'Arbitrum': 0.05}"
